Accuracy,Precision,Recall,F1-score,Specificity,ROC AUC,Model
0.7178571428571429,0.7046979865771812,0.75,0.726643598615917,0.6857142857142857,0.8072959183673469,RNN
0.7214285714285714,0.7066666666666667,0.7571428571428571,0.7310344827586207,0.6857142857142857,0.8196428571428571,LSTM
0.7178571428571429,0.7046979865771812,0.75,0.726643598615917,0.6857142857142857,0.815,GRU
0.7464285714285714,0.7142857142857143,0.8214285714285714,0.7641196013289037,0.6714285714285714,0.8256122448979591,SVM
0.7892857142857143,0.7755102040816326,0.8142857142857143,0.794425087108014,0.7642857142857142,0.7892857142857141,DecisionTree
0.9035714285714286,0.900709219858156,0.9071428571428571,0.9039145907473309,0.9,0.9548979591836734,RandomForest
0.6821428571428572,0.6711409395973155,0.7142857142857143,0.6920415224913494,0.65,0.7473979591836736,LogisticRegression
0.7642857142857142,0.7371794871794872,0.8214285714285714,0.777027027027027,0.7071428571428572,0.8303571428571429,KNN
0.725,0.7114093959731543,0.7571428571428571,0.7335640138408305,0.6928571428571428,0.8862244897959183,Combo 3-1 (3-of-7)
0.75,0.7243589743589743,0.8071428571428572,0.7635135135135135,0.6928571428571428,0.8847448979591837,Combo 3-2 (3-of-7)
0.7214285714285714,0.7066666666666667,0.7571428571428571,0.7310344827586207,0.6857142857142857,0.8489285714285715,Combo 3-3 (3-of-7)
0.8142857142857143,0.7894736842105263,0.8571428571428571,0.821917808219178,0.7714285714285715,0.9145918367346938,Combo 3-4 (3-of-7)
0.7428571428571429,0.7151898734177216,0.8071428571428572,0.7583892617449665,0.6785714285714286,0.8890816326530613,Combo 3-5 (3-of-7)
0.8,0.7592592592592593,0.8785714285714286,0.8145695364238411,0.7214285714285714,0.9115816326530612,Combo 3-6 (3-of-7)
0.8714285714285714,0.8561643835616438,0.8928571428571429,0.8741258741258742,0.85,0.9266326530612246,Combo 3-7 (3-of-7)
